PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-07,14:05:08.66,1,1,"Brock, Logan",1000448252,Right,KEN_OWL,"Gibbs, Josh",10094872,Right,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.37378,-2.314831,-2.494229,1844.252042,203.927199,12:45,5.98228,1.43721,6.11389,-21.08033,12.58387,5.15201,2.08211,-0.44108,83.53045,-6.254216,-1.566377,0.417595,64.55723,-60.751187,-66.615475,,,,,2.66014,2.66014,-14.932844,0.025997,-3.31008,7.39638,-1.24863,50,5.79341,5.51188,-131.2734,-5.97771,-5.83048,25.33703,-19.14579,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,ebf11ff0-0457-11f1-8e4a-674a48d888ae,90.26068,2.15572,,6.84333,,,,2.09117,2.15572,0.42256,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:05:08.66,2026-02-07T14:05:08.6671360-05:00,2026-02-07T19:05:08.6671360Z,GroundBall,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,798095be-3c30-42ab-bcf5-12b8d93af595,54.38615,-132.11725,12.66851,5.98188,-5.34005,-9.5729,-1.43544,5.70606,-2.91524,,2.09088,18.43074,,,,,,,,2.15702,-82.92279,,,,,,,,0.42323,-42.62251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2026-02-07,14:05:38.40,2,1,"Brock, Logan",1000448252,Right,KEN_OWL,"Brooks, Jamarie",1000230976,Right,KEN_OWL,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,85.04361,-0.487193,-1.991874,2152.040066,148.087977,11:00,5.88106,1.63608,5.89613,-28.31305,10.63772,-5.80418,3.06905,-0.6976,77.29506,-5.775088,-3.032727,0.449189,94.02861,40.573181,9.669035,4546.774548,105.68541,87.91277,30.50489,313.65441,271.93678,24.954375,5.638783,2.3798,5.97977,-1.47234,50,5.82568,4.52262,-123.39573,-1.94573,3.63387,26.76655,-23.04318,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,fdbd3f20-0457-11f1-8e4a-674a48d888ae,83.91217,112.60638,,7.74855,,,,1.27817,2.99386,0.67327,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:05:38.40,2026-02-07T14:05:38.4047104-05:00,2026-02-07T19:05:38.4047104Z,FlyBall,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,cf2003fd-73e7-47b7-9393-cea7def6f599,54.60142,-124.38985,13.38327,5.88205,-1.0899,-11.52159,-1.6378,4.38765,1.81693,211.197389,1.28879,103.06543,-24.67055,5.25693,-0.34424,-0.19645,0.06477,-0.00789,0.00035,2.98952,89.75117,-21.16683,1.35145,-0.05098,-0.06103,0.02578,-0.00407,0.00022,0.66963,17.65536,5.81574,-2.16954,0.36639,0.00017,-0.01055,0.0015,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-02-07,14:06:13.03,3,1,"Brock, Logan",1000448252,Right,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.19068,-1.044626,-2.471218,1939.101679,211.349802,1:00,5.97606,1.58687,6.01698,-18.19792,16.04154,9.10252,3.49093,0.05493,82.29226,-4.499641,-0.835451,0.421148,,,,,,,,,,,,-5.35662,8.86737,-1.39794,50,5.88414,5.26273,-130.90928,-2.92989,-9.2864,27.88663,-16.80135,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,12609a30-0458-11f1-8e4a-674a48d888ae,89.4992,,,7.89842,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:06:13.03,2026-02-07T14:06:13.0379776-05:00,2026-02-07T19:06:13.0379776Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,0956e8fb-bd8f-46a9-b535-a378ff79cd32,54.48002,-131.86017,13.94331,5.97428,-2.35699,-8.40067,-1.58279,5.57938,-4.6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-07,14:06:31.35,3,2,"Brock, Logan",1000448252,Right,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.37999,-2.216577,-1.543722,2087.7463,193.037535,12:30,5.94711,1.61116,6.11389,-20.94344,12.94036,2.75142,2.15061,0.41278,82.90762,-6.149196,-1.047739,0.418955,,,,,,,,,,,,-1.84473,7.61804,-1.49421,50,5.76603,3.42339,-131.24371,-5.73519,-3.22217,27.40688,-18.8678,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,1d3dd260-0458-11f1-8e4a-674a48d888ae,89.96773,,,7.47238,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:06:31.35,2026-02-07T14:06:31.3554432-05:00,2026-02-07T19:06:31.3554432Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,1a85b852-d3cb-4b6d-8847-97c8dbf21540,54.38403,-132.15603,13.70344,5.94649,-5.10712,-9.4339,-1.60995,3.53065,-1.61108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-07,14:06:45.53,3,3,"Brock, Logan",1000448252,Right,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.24089,-0.305427,-2.428043,2268.123911,79.110639,8:45,5.86656,1.52183,5.77177,-44.64247,-0.18673,-7.62756,1.86187,-1.37461,73.4632,-8.457589,-3.793874,0.479883,,,,,,,,,,,,3.27473,0.34996,-1.31635,50,5.81404,5.16474,-115.12893,-2.05532,4.41834,20.3249,-31.70188,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,25b9c200-0458-11f1-8e4a-674a48d888ae,78.54507,,,5.77769,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:06:45.53,2026-02-07T14:06:45.5342080-05:00,2026-02-07T19:06:45.5342080Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,3c8df4a8-9259-440d-a335-3d2f11e75139,54.7288,-115.96075,10.16245,5.8716,-0.75789,-15.85094,-1.52402,4.98392,2.20917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-07,14:07:00.06,3,4,"Brock, Logan",1000448252,Right,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Error,0,0,,91.85532,-1.202514,-1.711636,2103.244095,201.492829,12:45,5.98174,1.49426,6.37267,-20.71934,11.5965,4.18894,3.14806,0.26803,84.50021,-5.108193,-0.95308,0.409147,96.14325,20.318334,-12.818419,1021.824046,108.26096,35.99375,-19.48035,300.86484,298.73425,-4.986365,3.562414,-2.64571,6.66705,-1.37264,50,5.88516,3.82459,-133.56639,-3.4378,-4.80451,27.35324,-20.06682,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,2e6489d0-0458-11f1-8e4a-674a48d888ae,92.12449,43.10384,,7.35511,,,,1.2873,3.12221,-0.26032,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:07:00.06,2026-02-07T14:07:00.0626176-05:00,2026-02-07T19:07:00.0626176Z,LineDrive,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,53643575-a822-4531-b5bd-d6a3fa4a6566,54.12662,-134.40883,13.67662,5.98153,-2.81977,-10.03341,-1.49271,3.97257,-2.40226,219.774917,1.2875,128.93247,-22.72129,4.89771,-0.96109,0.16452,-0.02324,0.00231,-0.00011,3.12163,48.9864,-16.41358,1.31161,-0.48202,0.17893,-0.04288,0.00591,-0.00035,-0.26085,-29.31787,12.10032,-2.85228,0.45556,-0.02426,-0.00671,0.00145,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-02-07,14:07:47.07,4,1,"Brock, Logan",1000448252,Right,KEN_OWL,"Posey, Aaron",1000092788,Right,KEN_OWL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.45104,-2.88749,-2.169011,1997.017459,195.917823,12:30,6.01508,1.6065,5.92506,-16.01934,18.49497,4.92796,1.99666,0.00359,81.97614,-5.951291,-1.284694,0.422835,,,,,,,,,,,,-3.17488,10.70162,-1.43572,50,5.7748,4.74796,-131.0258,-7.06364,-5.46629,30.1655,-13.74881,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,4a77e2c0-0458-11f1-8e4a-674a48d888ae,89.14217,,,8.4749,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:07:47.07,2026-02-07T14:07:47.0787584-05:00,2026-02-07T19:07:47.0787584Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,1bc5858b-478f-41e0-9b0e-038b1a90ea32,54.5703,-132.07381,15.08275,6.01191,-6.58598,-6.87441,-1.60397,4.93787,-2.73315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-07,14:08:06.85,4,2,"Brock, Logan",1000448252,Right,KEN_OWL,"Posey, Aaron",1000092788,Right,KEN_OWL,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.17658,-0.86503,-2.160009,2225.547381,67.244801,8:15,5.80879,1.81484,5.88011,-46.03191,-1.52476,-6.81516,1.16883,-0.76,73.25953,-9.278134,-3.384253,0.48016,,,,,,,,,,,,2.90969,-0.15181,-1.63638,50,5.7122,4.58923,-115.02141,-3.20678,3.90203,21.12833,-32.37765,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,564fcea0-0458-11f1-8e4a-674a48d888ae,78.49968,,,5.91706,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:08:06.85,2026-02-07T14:08:06.8582400-05:00,2026-02-07T19:08:06.8582400Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,3eefc59d-333d-40de-b99b-93315e9872a0,54.62006,-115.86697,10.56416,5.8146,-1.91103,-16.18883,-1.81691,4.43307,1.95101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-07,14:08:27.41,4,3,"Brock, Logan",1000448252,Right,KEN_OWL,"Posey, Aaron",1000092788,Right,KEN_OWL,Undefined,1,Top,2,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.38151,0.990647,-1.441022,2261.809988,59.555669,8:00,5.83962,1.74672,5.66871,-52.36538,-5.07248,-11.22008,2.39988,-0.53213,70.92359,-8.580554,-3.4481,0.494959,70.98787,40.356567,120.604564,5003.182172,,,,,44.96315,,,5.28725,-2.4498,-1.61775,50,5.89013,3.24584,-112.35303,0.24101,6.70973,21.7234,-35.28295,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,62845970-0458-11f1-8e4a-674a48d888ae,76.15261,34.45741,,6.45793,,,,0.26929,2.25065,0.48388,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:08:27.41,2026-02-07T14:08:27.4172416-05:00,2026-02-07T19:08:27.4172416Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,da5e28d2-e096-4341-96b7-f8a0af2197b5,54.83162,-113.28337,10.8617,5.84745,1.75206,-17.64147,-1.75061,2.95849,3.35486,,0.26929,-40.39227,0.10432,0.35514,-0.15276,0.04684,-0.0141,0.00445,-0.00102,2.25065,67.41913,-25.92081,3.14652,-0.66745,0.13564,-0.02829,0.00462,-0.00019,0.48388,68.28718,-13.90376,3.46391,-0.78823,0.18264,-0.04368,0.0093,-0.00128,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2026-02-07,14:08:53.59,4,4,"Brock, Logan",1000448252,Right,KEN_OWL,"Posey, Aaron",1000092788,Right,KEN_OWL,Undefined,1,Top,2,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.61987,-2.124357,-2.260782,2172.011512,203.400045,12:45,6.0235,1.32149,6.41547,-17.66981,14.96965,6.03158,2.5956,-0.25537,83.87305,-5.488648,-1.168302,0.41119,,,,,,,,,,,,-3.7804,8.72705,-1.16259,50,5.86341,5.01077,-133.05382,-5.43804,-6.77835,28.49053,-16.5262,KEN_OWL,KEN_OWL,KennesawState,TeamExclusive,Team,20260207-KennesawState-Private-1,72050200-0458-11f1-8e4a-674a48d888ae,91.66662,,,7.74683,,,,,,,b590457d-9843-48aa-a30e-debe9e68f3cc,2026-02-07,19:08:53.59,2026-02-07T14:08:53.5922176-05:00,2026-02-07T19:08:53.5922176Z,,v3,471506,471506,,"McGee, James",10071772,Right,KEN_OWL,d603f9fa-ed7e-45bd-b137-4cf4e28e2097,54.08268,-133.92518,14.24527,6.02199,-4.9326,-8.2631,-1.31901,5.21808,-3.38917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
