PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/28/26,05:03.3,1,1,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.67389,-1.7692,-1.520849,2225.956478,233.006403,1:45,6.30788,1.62037,5.93018,-23.20521,12.91115,15.02324,2.7315,1.46089,78.96382,-6.195396,1.178818,0.432537,,,,,,,,,,,,-8.15619,7.74619,-1.50661,50,6.15382,2.75437,-129.60945,-4.7267,-13.31311,37.27423,-19.53022,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,a5393530-2ad0-11f1-b30c-6714cf610ffb,87.1427,,,10.71007,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,05:03.3,2026-03-28T14:05:03.2875008-04:00,2026-03-28T18:05:03.2875008Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,e159c6b5-b15d-4c4e-abf6-5715d5f6cf9e,54.56026,-130.91436,18.63712,6.30732,-4.04298,-9.76511,-1.61119,3.22045,-6.65656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/28/26,05:15.9,1,2,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.21959,-0.412133,-0.479891,2190.24166,155.045723,11:15,5.83916,1.61975,5.76591,-31.3688,6.95433,-2.59075,2.84151,0.95721,77.79857,-6.249919,-0.944171,0.445555,,,,,,,,,,,,1.15189,4.1063,-1.5785,50,5.78644,1.15834,-125.01517,-1.96469,1.7935,29.00526,-25.7806,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,acc06490-2ad0-11f1-b30c-6714cf610ffb,84.59652,,,8.42102,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,05:15.9,2026-03-28T14:05:15.9027200-04:00,2026-03-28T18:05:15.9027200Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,f41be648-0883-4e3c-ac3d-f8a79424bbbc,54.72967,-126.10774,14.50263,5.84215,-0.99359,-12.8903,-1.62086,1.09078,0.89675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/28/26,05:32.5,1,3,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.29612,-0.268321,-1.75118,2025.910691,237.205798,2:00,5.9381,1.53531,6.052,-25.54742,11.25847,15.0869,3.56065,1.17097,78.14549,-5.129216,0.964831,0.436646,,,,,,,,,,,,-8.30674,6.32729,-1.40646,50,5.90397,3.24546,-127.80028,-1.39285,-13.26888,34.71504,-22.06702,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,b6a86750-2ad0-11f1-b30c-6714cf610ffb,86.32257,,,10.15063,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,05:32.5,2026-03-28T14:05:32.5179904-04:00,2026-03-28T18:05:32.5179904Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,ccfd5026-1a15-40ed-979d-2a8f025dec1e,54.44046,-129.00083,17.35752,5.93894,-0.62971,-11.03351,-1.52663,3.70433,-6.63444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/28/26,05:49.2,1,4,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.9952,-1.349623,-1.822111,2066.734658,231.328203,1:45,6.04696,1.305,6.10097,-23.71505,12.74902,13.90784,2.82165,0.77823,78.25001,-5.89094,0.684393,0.434614,,,,,,,,,,,,-7.7713,7.55103,-1.17129,50,5.93108,3.4745,-128.66502,-3.74497,-12.48368,37.05468,-20.04419,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,c095c140-2ad0-11f1-b30c-6714cf610ffb,86.72621,,,10.74519,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,05:49.2,2026-03-28T14:05:49.1661824-04:00,2026-03-28T18:05:49.1661824Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,76267d25-4804-4b1c-943f-906c6f61aa2b,54.3894,-129.92299,18.52734,6.04667,-3.06449,-10.0221,-1.29644,3.89831,-6.24184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/28/26,06:04.3,1,5,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.07493,-0.524933,-1.162132,2103.943228,127.064178,10:15,5.94726,1.51309,5.66801,-31.37006,7.42563,-8.27619,2.84353,-0.26032,78.23841,-6.307179,-2.6416,0.448294,,,,,,,,,,,,3.88087,4.28457,-1.40966,50,5.88318,2.85032,-123.58044,-2.20265,6.01914,23.9534,-25.52874,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,c990cbf0-2ad0-11f1-b30c-6714cf610ffb,84.07971,,,6.83652,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,06:04.3,2026-03-28T14:06:04.2769408-04:00,2026-03-28T18:06:04.2769408Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,ff0a5a24-e249-4ff7-99f2-de0f45a44e5f,54.83131,-124.51336,11.9767,5.9496,-1.20837,-12.76437,-1.51611,2.61589,3.00957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/28/26,06:20.8,1,6,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.78673,-1.094541,-2.079117,1480.051972,263.784462,2:45,5.94024,1.55655,6.13935,-37.17396,2.95343,13.55387,1.83007,0.76371,75.69252,-8.012334,0.368234,0.455923,92.08909,-34.029188,78.221248,,,,,3.68994,3.38775,36.419285,0.025913,-7.74378,2.28894,-1.40499,50,5.83765,3.89325,-121.52632,-3.49614,-11.35001,28.23903,-28.81919,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,d3682ce0-2ad0-11f1-b30c-6714cf610ffb,82.67276,1.96178,,8.09421,,,,2.37621,1.96178,-0.65342,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,06:20.8,2026-03-28T14:06:20.7584768-04:00,2026-03-28T18:06:20.7584768Z,GroundBall,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,5256072e-0c75-4a74-be19-ae1e56bd86fa,54.36003,-122.53527,14.11952,5.94417,-2.46646,-14.40959,-1.55134,4.29877,-5.675,,2.37605,22.88685,,,,,,,,1.9623,-75.70722,,,,,,,,-0.65416,109.75649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,3/28/26,06:40.6,1,7,"Marose, Doug",10303186,Right,DEL_BLU,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,Cutter,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.40197,-0.699465,-0.994454,2213.405988,134.291573,10:30,6.06385,1.6324,5.68651,-32.55569,5.27292,-4.14984,2.69879,0.35957,78.96941,-6.703749,-1.736989,0.442672,,,,,,,,,,,,1.81122,3.2711,-1.54613,50,5.98479,2.3537,-125.42323,-2.67025,2.87415,26.26802,-26.98321,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,df38c5c0-2ad0-11f1-b30c-6714cf610ffb,85.14764,,,7.43256,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,06:40.6,2026-03-28T14:06:40.6120000-04:00,2026-03-28T18:06:40.6120000Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,d014e91c-3e30-4983-9b94-6e37e32c2110,54.81166,-126.42694,13.13401,6.06712,-1.6392,-13.4916,-1.63397,2.24388,1.43707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8385,,1.184768,,-1.7535,2.31494,-0.26221,-0.67635,5.38732,-1.26141,,,,-0.37096,92.58868,-8.53737,5.50927,23.07326,-13.47581,-1.60309,-30.80618,6.55744,High,High,High,,,High,High,Low
8,3/28/26,07:02.8,2,1,"Marose, Doug",10303186,Right,DEL_BLU,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.66819,-1.461064,-2.175958,2123.865989,243.964428,2:15,5.8344,1.63533,6.07762,-27.38285,8.43367,14.61434,2.19937,0.8389,80.09977,-6.592826,0.457316,0.430738,64.73514,-22.515897,-21.258325,,,,,7.89731,7.67496,-20.813739,0.061224,-8.28382,5.18713,-1.47485,50,5.70688,4.28984,-128.59354,-4.16657,-13.64513,30.71808,-23.6298,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,ec717a20-2ad0-11f1-b30c-6714cf610ffb,87.50671,2.23434,,8.56843,,,,2.35874,2.23434,-0.85191,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,07:02.8,2026-03-28T14:07:02.8073984-04:00,2026-03-28T18:07:02.8073984Z,GroundBall,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,eae1e617-0c75-4cd8-abac-2e3b3b21c5c0,54.42166,-129.64548,15.35904,5.83571,-3.35738,-11.8149,-1.62976,4.75712,-6.82257,180,2.35572,82.04599,,,,,,,,2.23569,-36.49449,,,,,,,,-0.85073,-31.91966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,3/28/26,07:34.6,3,1,"Marose, Doug",10303186,Right,DEL_BLU,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.05905,-1.369591,-1.256923,2247.749552,142.636948,10:45,6.18589,1.38993,5.68451,-30.90061,6.41717,-3.96693,2.33367,-0.11243,79.55198,-7.069644,-1.966682,0.439673,,,,,,,,,,,,1.64756,4.03181,-1.28158,50,6.0513,2.93998,-126.33527,-4.09787,2.64944,26.93611,-25.69042,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,ff72bdf0-2ad0-11f1-b30c-6714cf610ffb,85.72843,,,7.50706,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,07:34.6,2026-03-28T14:07:34.6269696-04:00,2026-03-28T18:07:34.6269696Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,5791f34e-22e1-4b7f-9ac3-f118d63cf3e6,54.81419,-127.35757,13.46805,6.18832,-3.12284,-12.84521,-1.39126,2.83942,1.32472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/28/26,07:46.3,3,2,"Marose, Doug",10303186,Right,DEL_BLU,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,2,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.14735,1.235214,0.003274,2157.411101,35.020435,7:15,6.11139,1.49384,5.04653,-59.94397,-12.82402,-9.98044,2.28136,0.66522,72.15849,-9.542164,-1.7651,0.494053,,,,,,,,,,,,4.96756,-6.31032,-1.48578,50,6.18063,0.39821,-113.51235,0.2599,6.4822,20.75339,-40.40844,DEL_BLU,KEN_OWL,BobHannahStadium,D1,CUSA,20260328-BobHannahStadium-1,06677150-2ad1-11f1-b30c-6714cf610ffb,76.29225,,,5.98886,,,,,,,4086c08e-9486-4287-a741-f348c8b21dec,3/28/26,07:46.3,2026-03-28T14:07:46.2658560-04:00,2026-03-28T18:07:46.2658560Z,,v3,471283,471506,849aadf557c0475d9da126f35398f2de,"Cockrill, LT",1000194945,Right,DEL_BLU,68b28003-70a3-4e5a-b8dc-0d1e60279d1c,55.45789,-114.50587,10.37669,6.12189,2.19435,-20.20422,-1.49741,0.08789,3.2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
