PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:08:00.14,1,1,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.22267,-2.162548,-0.48081,2346.557681,211.9085,1:00,5.88652,1.81229,5.78166,-14.14721,17.1104,9.97347,2.69444,2.19604,86.17745,-4.873108,1.305805,0.402392,,,,,,,,,,,,-5.18996,9.67993,-1.77849,50,5.69958,0.68932,-138.07257,-5.63608,-9.91758,33.64413,-13.67654,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,14f2c6f0-2d4e-11f1-8950-f7ec5efee6cd,93.67097,,,9.04522,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:08:00.14,2026-03-31T18:08:00.1447936-04:00,2026-03-31T22:08:00.1447936Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,747eb7a2-b10b-4767-9760-3721555629d0,54.71605,-139.21699,16.82206,5.88338,-5.17087,-6.83827,-1.80767,1.02667,-4.95879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:08:16.91,1,2,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.65345,-0.94779,-1.786615,2267.015923,222.062414,1:30,6.07212,1.71879,5.88315,-18.64064,12.89757,10.64008,3.63805,0.94575,85.51582,-4.478266,0.122268,0.404194,,,,,,,,,,,,-5.96138,7.208,-1.58049,50,5.98491,3.79106,-137.27823,-2.88619,-11.24538,33.6477,-18.57712,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,1eeb1d60-2d4e-11f1-8950-f7ec5efee6cd,93.25336,,,9.13762,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:08:16.91,2026-03-31T18:08:16.9156608-04:00,2026-03-31T22:08:16.9156608Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,dd9f63a4-a3ae-46a5-9135-af53251c191d,54.61479,-138.40472,16.82385,6.07113,-2.26425,-9.28856,-1.71371,4.16754,-5.62269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:08:34.65,1,3,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.83893,-1.118433,-2.157732,2320.205116,224.39851,1:30,5.95745,1.77847,5.86907,-16.78997,14.01406,12.6578,3.51849,0.82799,86.51571,-4.313659,0.111807,0.399462,,,,,,,,,,,,-7.0876,7.81406,-1.61077,50,5.85714,4.63967,-138.95255,-3.25603,-13.69498,34.53508,-17.07536,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,297fb3d0-2d4e-11f1-8950-f7ec5efee6cd,94.35803,,,9.32322,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:08:34.65,2026-03-31T18:08:34.6594304-04:00,2026-03-31T22:08:34.6594304Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,9f323593-2bc4-421f-8a1f-16ab2a5269e5,54.62872,-140.09824,17.26754,5.95576,-2.68956,-8.53768,-1.77223,5.094,-6.84749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:08:53.15,1,4,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.70571,-2.465174,-2.715977,2217.193797,220.806775,1:15,5.83348,1.69633,5.9811,-16.12721,14.57505,11.67068,2.20045,0.1494,86.81777,-5.532269,-0.620049,0.398801,,,,,,,,,,,,-6.77571,8.52654,-1.48781,50,5.62941,6.04577,-138.69358,-6.48262,-13.09601,33.25674,-15.69402,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,3483d4f0-2d4e-11f1-8950-f7ec5efee6cd,94.51435,,,8.88794,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:08:53.15,2026-03-31T18:08:53.1593728-04:00,2026-03-31T22:08:53.1593728Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,102ecd95-61a7-4f10-a7da-1c2da20b64fc,54.5178,-139.77269,16.62837,5.8315,-5.97338,-7.84701,-1.69088,6.4707,-6.54801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:09:10.29,1,5,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.18979,-2.745244,-3.337925,2324.192325,212.071682,1:00,5.89747,1.82877,5.90282,-14.42324,16.68922,9.7943,2.14077,-0.45722,86.48846,-5.501167,-1.583713,0.401457,,,,,,,,,,,,-5.97284,9.65233,-1.56567,50,5.668,7.59213,-137.84601,-7.05232,-11.43059,32.17874,-13.70177,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,3ebf00c0-2d4e-11f1-8950-f7ec5efee6cd,93.88917,,,8.70133,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:09:10.29,2026-03-31T18:09:10.2979584-04:00,2026-03-31T22:09:10.2979584Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,99bf1b70-3dc3-46b6-ac5c-bf80038a87ab,54.5963,-138.91482,16.08937,5.89469,-6.59721,-6.85088,-1.82414,7.97179,-5.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,18:09:31.61,1,6,"Kersey, Braydon",10112085,Right,MER_BEA,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,97.45446,-3.597923,-3.683179,2289.857983,220.375363,1:15,5.89265,1.67633,5.68604,-13.83674,16.34178,12.96528,1.37457,-0.68109,88.014,-6.241013,-1.371097,0.395385,,,,,,,,,,,,-7.69721,9.72119,-1.37405,50,5.58034,8.43895,-140.82704,-9.30814,-15.28091,35.39538,-12.87505,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,4b731bd0-2d4e-11f1-8950-f7ec5efee6cd,95.33094,,,9.44045,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:09:31.61,2026-03-31T18:09:31.6186624-04:00,2026-03-31T22:09:31.6186624Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,e8b4dbc0-db95-4dfe-aefd-03f29ea54838,54.81252,-142.03147,17.69769,5.88962,-8.87003,-6.43753,-1.67005,8.95892,-7.64045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:10:02.87,2,1,"Kersey, Braydon",10112085,Right,MER_BEA,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.26916,-0.253322,-0.562372,2522.003856,127.197979,10:15,5.61106,2.23611,5.34715,-37.10785,3.49063,-2.73177,2.28111,1.48093,76.43433,-7.06141,-1.048286,0.458592,,,,,,,,,,,,1.18697,2.2728,-2.18345,50,5.56203,1.31806,-122.17303,-1.88464,1.77266,26.74627,-28.77977,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,5e1e0240-2d4e-11f1-8950-f7ec5efee6cd,82.19169,,,7.83484,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:10:02.87,2026-03-31T18:10:02.8730880-04:00,2026-03-31T22:10:02.8730880Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,e2fc740d-dd0a-42ed-abd4-6844b96804eb,55.15091,-123.29551,13.37313,5.61578,-0.67681,-14.38988,-2.23721,1.24367,0.88633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:10:19.80,2,2,"Kersey, Braydon",10112085,Right,MER_BEA,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.1093,-4.282145,-3.199449,2379.872303,214.77524,1:15,5.90198,1.97523,5.66586,-13.96418,17.67544,11.49268,0.73167,-0.05351,86.22862,-6.942664,-1.149208,0.404844,,,,,,,,,,,,-6.78815,10.59048,-1.7119,50,5.53023,7.14485,-137.43435,-10.73392,-12.87233,32.88795,-12.0914,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,682cc6e0-2d4e-11f1-8950-f7ec5efee6cd,93.10372,,,8.88068,,,,,,,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:10:19.80,2026-03-31T18:10:19.8065152-04:00,2026-03-31T22:10:19.8065152Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,928f64d1-be57-4de6-b29f-dbe0e6135384,54.83332,-138.58613,16.44398,5.89873,-10.31047,-6.0457,-1.97002,7.59566,-6.43616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,18:11:21.69,2,3,"Kersey, Braydon",10112085,Right,MER_BEA,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,95.21939,-3.869712,-3.252174,2288.557027,225.183419,1:30,5.85372,1.87625,5.68819,-17.23064,14.26414,13.2432,0.79967,-0.05467,86.42818,-7.109393,-0.887632,0.403916,85.79109,-9.78051,18.41505,,,,,7.34236,7.00732,11.091292,0.036471,-7.76347,8.75886,-1.61102,50,5.51659,7.22086,-137.70019,-9.91217,-14.77501,33.08766,-15.50467,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,8d0d15a0-2d4e-11f1-8950-f7ec5efee6cd,93.31762,0.78007,,8.79121,,,,2.91163,0.78007,-0.01707,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:11:21.69,2026-03-31T18:11:21.6942080-04:00,2026-03-31T22:11:21.6942080Z,GroundBall,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,881c6001-63ff-4c95-948d-d9aa1c160fc6,54.81275,-138.85182,16.54383,5.8522,-9.37253,-7.75234,-1.8713,7.73511,-7.3875,180,2.91118,117.7261,,,,,,,,0.78015,-21.38885,,,,,,,,-0.01722,39.19661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-03-31,18:12:03.53,3,1,"Kersey, Braydon",10112085,Right,MER_BEA,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.38508,-1.997305,-2.755955,2429.573566,213.912511,1:15,6.08415,1.77625,5.57868,-12.92741,17.11824,10.82229,3.13851,0.10211,88.34833,-4.471889,-0.827818,0.394514,81.13812,73.995309,53.279785,,,,,,31.97157,,,-6.31256,9.56398,-1.54632,50,5.90394,6.27724,-141.12282,-5.33893,-12.65135,33.97712,-13.00636,MER_BEA,KEN_OWL,MercerUniversity,D1,SOCON,20260331-MercerUniversity-1,a5f7b750-2d4e-11f1-8950-f7ec5efee6cd,95.54151,107.51923,,9.03675,,,,1.8887,3.17532,-0.109,1f666880-6a2e-41b5-9886-950b9c7a2fbe,2026-03-31,22:12:03.53,2026-03-31T18:12:03.5321856-04:00,2026-03-31T22:12:03.5321856Z,,v3,471354,471506,09377900dc9242a189df47da339831ff,"LaPointe, Dylan",807315,Right,MER_BEA,68af6ab8-e26e-4a74-81d1-323bf96a164a,54.92177,-142.30287,16.98856,6.08152,-4.88721,-6.50318,-1.77197,6.71663,-6.32567,,1.88869,19.61796,-11.07811,3.51808,-0.85006,0.09004,0.14303,-0.12477,0.03415,3.17532,114.38972,-28.30169,3.53559,-0.68286,0.12303,-0.02798,0.00921,-0.00216,-0.109,26.30004,-3.34655,0.70521,-0.12328,0.01656,0.00598,-0.0061,0.00164,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
