PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/7/26,03:17.1,1,1,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,LineDrive,Out,1,0,,86.74304,-0.676605,-2.629277,2493.157672,140.673452,10:45,5.80298,1.80014,5.47437,-30.22305,7.87394,-5.393,2.65054,-1.11142,78.85744,-6.251145,-3.588199,0.444239,62.05481,26.581622,17.64185,1574.625028,105.33608,29.44603,31.69026,192.14077,181.22077,16.261524,2.883714,1.93209,4.54059,-1.56516,50,5.72304,6.00321,-125.7154,-2.55151,3.06211,27.78701,-24.97774,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,957df360-32cd-11f1-898e-b1cb034a50ee,84.84718,29.73523,,7.8856,,,,2.45033,2.80377,1.05365,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,03:17.1,2026-04-07T18:03:17.0948608-04:00,2026-04-07T22:03:17.0948608Z,FlyBall,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,c4f34999-d62e-42b5-83bf-51f87932ef34,55.02431,-126.82107,13.89351,5.8048,-1.55762,-12.48887,-1.80161,5.88137,1.53105,159.272197,2.45045,77.56044,-7.99075,1.49757,-0.16803,-0.02068,0.0037,0.00359,-0.00073,2.80381,40.72421,-16.29716,0.73647,0.00811,-0.11737,0.0835,-0.02313,0.00226,1.0537,24.6644,-4.05655,0.97073,-0.076,-0.06039,0.02277,-0.00199,-9.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,4/7/26,03:52.3,2,1,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,1,0,0,Cutter,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.68312,-2.733547,-3.200206,2457.87342,148.791053,11:00,5.83232,1.49254,5.43634,-30.21285,8.75607,-4.54496,0.74884,-1.88613,78.66072,-8.254691,-4.007717,0.449294,,,,,,,,,,,,1.37858,5.57433,-1.2058,50,5.56913,7.12967,-124.04568,-6.99442,2.1434,25.30916,-23.50715,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,aa8e4110-32cd-11f1-898e-b1cb034a50ee,83.89261,,,7.0224,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,03:52.3,2026-04-07T18:03:52.3314688-04:00,2026-04-07T22:03:52.3314688Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,defd8d84-e0a6-4616-8628-4eb8cb62637f,55.06183,-125.07418,12.65458,5.83395,-6.03914,-11.75358,-1.49377,7.04256,1.0717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/7/26,04:31.0,3,1,"Willcox, Charlie",1000353290,Right,GIT_YEL,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,StolenBase,0,0,,93.54635,-1.556439,-2.409598,2401.862578,220.048172,1:15,5.76279,1.59732,5.85547,-23.67682,7.9126,5.92122,2.34196,-0.14938,86.72042,-5.93065,-1.348057,0.404522,,,,,,,,,,,,-3.61768,4.6961,-1.4051,50,5.6223,5.46361,-135.94807,-4.54678,-6.86264,25.99931,-23.2656,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,c19073b0-32cd-11f1-898e-b1cb034a50ee,93.17767,,,6.82593,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,04:31.0,2026-04-07T18:04:31.0320000-04:00,2026-04-07T22:04:31.0320000Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,32a87bfd-4526-4a1e-9dd0-1984f859eb7d,54.64552,-136.83361,12.99966,5.76367,-3.75434,-11.6328,-1.59518,5.69735,-3.43132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.78968,1.803777,0.600627,1.203149,-0.02047,2.19098,0.18284,-0.59831,6.42318,0.86875,127.28087,1.14788,0.679,-0.43333,120.67388,-12.21991,6.41745,7.93858,-10.23738,0.85,-1.38083,1.04598,High,High,High,,,High,High,High
4,4/7/26,04:58.7,3,2,"Willcox, Charlie",1000353290,Right,GIT_YEL,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.43994,-2.687699,-4.622259,1410.749078,254.020865,2:30,5.55313,1.83691,5.69914,-31.30175,3.78331,9.68296,0.4301,-1.67282,82.91151,-8.396581,-2.895938,0.426317,,,,,,,,,,,,-6.09603,2.90264,-1.45438,50,5.307,10.06218,-129.52634,-7.23559,-10.46224,24.46156,-27.19241,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,d219b2a0-32cd-11f1-898e-b1cb034a50ee,88.41417,,,6.52843,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,04:58.8,2026-04-07T18:04:58.7517440-04:00,2026-04-07T22:04:58.7517440Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,93385def-df25-4d0d-a6e6-c9bd1ad7896d,54.80212,-130.43009,12.23078,5.55576,-6.23095,-13.59621,-1.83328,10.44871,-5.23112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/7/26,05:19.9,3,3,"Willcox, Charlie",1000353290,Right,GIT_YEL,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.43108,-1.485837,-2.590967,1511.510382,266.742525,3:00,5.62782,1.62062,5.50595,-33.4284,1.48736,9.98993,1.45079,0.02832,83.38895,-7.55974,-0.809939,0.425287,,,,,,,,,,,,-5.70666,1.33,-1.40144,50,5.47495,5.45901,-129.97875,-4.63141,-9.92581,22.97516,-29.86071,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,deabedd0-32cd-11f1-898e-b1cb034a50ee,88.62822,,,6.04213,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,05:19.9,2026-04-07T18:05:19.9064064-04:00,2026-04-07T22:05:19.9064064Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,58256b33-ec86-4155-be0a-d78d14a863a7,54.9972,-130.85908,11.48758,5.63049,-3.48725,-14.93035,-1.6179,5.83933,-4.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/7/26,06:10.6,3,4,"Willcox, Charlie",1000353290,Right,GIT_YEL,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,88.97475,-1.036683,-2.63117,1529.666652,241.888352,2:00,5.58372,1.82536,5.43806,-28.0625,7.29461,11.89217,2.27329,0.35078,82.74056,-6.167474,-0.515546,0.427967,95.26607,-18.445985,-9.572985,,,,,8.95816,8.95816,-12.671731,0.057717,-6.6689,4.18843,-1.60116,50,5.47224,5.43583,-129.3088,-3.3754,-11.48273,22.68283,-24.96225,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,fcefbb50-32cd-11f1-898e-b1cb034a50ee,88.07333,2.5565,,6.23419,,,,1.18212,2.5565,-0.69046,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,06:10.6,2026-04-07T18:06:10.6422272-04:00,2026-04-07T22:06:10.6422272Z,GroundBall,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,4ec67a9e-b9b2-46f3-b059-cf64e531ebaf,55.06459,-130.19418,11.34142,5.58497,-2.40105,-12.48113,-1.82208,5.88404,-5.74137,180,1.17982,130.94654,,,,,,,,2.55728,-44.29368,,,,,,,,-0.69007,-22.08445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,4/7/26,06:52.7,4,1,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.62023,0.741341,-0.092141,2289.570009,234.417163,1:45,5.71904,1.6818,5.80623,-22.4643,10.08823,12.72674,4.53649,2.65667,84.79385,-3.453768,2.188162,0.410642,,,,,,,,,,,,-6.47622,5.25327,-1.68164,50,5.76652,-0.3574,-134.58549,0.95873,-11.91167,28.44231,-22.51176,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,15fb0460-32ce-11f1-898e-b1cb034a50ee,91.78895,,,7.82638,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,06:52.7,2026-04-07T18:06:52.7096320-04:00,2026-04-07T22:06:52.7096320Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,8accf490-6753-4fdb-91d4-9de703a295ed,54.69227,-135.5735,14.22116,5.71963,1.74073,-11.25588,-1.67641,0.05637,-5.95583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/7/26,07:10.5,4,2,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.51417,-1.683742,-2.491775,1491.800539,256.540781,2:30,5.61492,1.68809,5.25948,-32.11813,3.91213,12.28261,1.35454,0.36908,82.38915,-7.506072,-0.311799,0.432021,,,,,,,,,,,,-6.75851,2.64603,-1.46924,50,5.43654,5.05329,-128.56629,-5.01778,-11.49082,22.70948,-27.67527,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,2095dc60-32ce-11f1-898e-b1cb034a50ee,87.24674,,,6.12502,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,07:10.5,2026-04-07T18:07:10.4898560-04:00,2026-04-07T22:07:10.4898560Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,c7e6d91b-d3a5-4508-9626-8ea6ca8de60d,55.24251,-129.489,11.35474,5.61758,-3.8933,-13.83763,-1.68404,5.52017,-5.74541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/7/26,07:33.8,4,3,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,2,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,1,,88.88533,-1.435046,-3.11234,1557.954966,226.314247,1:30,5.65012,1.90838,5.44142,-23.718,11.9628,11.44623,2.32765,-0.05489,82.0865,-5.809954,-1.078075,0.429921,106.09755,19.23269,14.606718,1225.683727,106.29346,33.5188,28.3134,354.76927,351.87793,16.761035,3.661832,-6.6013,6.70142,-1.64135,50,5.50669,6.52404,-129.01075,-4.07714,-11.24291,24.1877,-20.76064,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,2e7e7fd0-32ce-11f1-898e-b1cb034a50ee,87.67294,44.4079,,6.79883,,,,2.94547,2.52855,0.03206,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,07:33.8,2026-04-07T18:07:33.8008576-04:00,2026-04-07T22:07:33.8008576Z,LineDrive,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,b370b3ac-343b-4a97-9b04-2dd77242462e,55.0602,-129.956,12.09385,5.65017,-3.26582,-10.38032,-1.90489,6.96341,-5.62146,198.878225,2.94625,142.15046,-24.19153,4.93742,-0.8998,0.13789,-0.01911,0.0022,-0.00013,2.52748,51.29278,-18.15579,2.28623,-0.75602,0.20855,-0.03604,0.00352,-0.00014,0.03128,37.07721,-4.10966,1.07004,-0.39885,0.10723,-0.01543,0.00072,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,4/7/26,08:21.5,5,1,"Willcox, Charlie",1000353290,Right,GIT_YEL,"Posey, Aaron",1000092788,Right,KEN_OWL,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,93.70177,-0.067911,-0.653428,2347.318101,233.221946,1:45,5.78633,1.50164,5.93808,-21.56135,9.93339,12.07009,3.92655,1.90128,86.22551,-4.094016,1.515278,0.403916,,,,,,,,,,,,-6.41059,5.39622,-1.45656,50,5.76865,1.03719,-136.28892,-0.90458,-12.13968,28.04286,-21.95527,GIT_YEL,KEN_OWL,GeorgiaTech,D1,ACC,20260407-GeorgiaTech-1,4aec06b0-32ce-11f1-898e-b1cb034a50ee,93.31761,,,7.47627,,,,,,,1688fffa-28f9-4659-865c-4f6db5ffbbf8,4/7/26,08:21.5,2026-04-07T18:08:21.4597120-04:00,2026-04-07T22:08:21.4597120Z,,v3,100,471506,c81cd8945de64fae80b0cd8b920fdc0f,"Lackey, Vahn",822518,Right,GIT_YEL,e95b3a13-59d6-42d3-9628-e8913279b04b,54.5632,-137.22463,14.02143,5.78661,-0.17199,-10.97763,-1.49793,1.44225,-6.06984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
