PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,16:05:16.18,1,1,"Sliver, Nolan",823778,Right,KEN_OWL,"Lunsford, Colby",1000072729,Right,LOU_BUL,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.95294,-2.236822,-1.844903,2077.480699,238.454095,2:00,5.57775,0.91568,5.62906,-23.42419,9.81666,14.35186,1.5365,0.38967,84.63003,-6.565006,0.719925,0.414961,85.93665,-22.553318,-25.209355,,,,,5.75852,5.75852,-20.518976,0.032929,-7.82075,5.87603,-0.7682,50,5.37213,3.6707,-133.49898,-6.05847,-14.18148,27.44972,-21.51899,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,eb1bf320-3b61-11f1-8849-2b4164b5b749,90.83369,1.59424,,7.32291,,,,1.92007,1.59424,-0.38345,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:05:16.18,2026-04-18T16:05:16.1832960-04:00,2026-04-18T20:05:16.1832960Z,GroundBall,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,e4f3d903-596a-4089-8ef8-fdf6fe13e6dc,54.87101,-134.49682,13.72486,5.57814,-5.27623,-10.75949,-0.911,4.18622,-7.09074,,1.91923,105.47198,,,,,,,,1.59462,-48.41403,,,,,,,,-0.38305,-49.65238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2026-04-18,16:05:45.60,2,1,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.15193,-1.662119,-2.769757,1989.532382,247.525399,2:15,5.51011,1.20935,5.97047,-32.85588,8.575,17.45757,1.22893,0.0943,75.24533,-7.755546,0.369386,0.463269,,,,,,,,,,,,-9.8339,5.26933,-0.9999,50,5.35999,5.11006,-119.21457,-4.4802,-14.10292,23.66338,-24.61722,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,fcaae240-3b61-11f1-8849-2b4164b5b749,81.36184,,,6.9066,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:05:45.60,2026-04-18T16:05:45.6051712-04:00,2026-04-18T20:05:45.6051712Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,75e51577-6197-419b-bbec-e6e06925eb7a,54.52926,-120.11024,11.83169,5.51194,-3.54843,-12.30861,-1.20343,5.64386,-7.05146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,16:05:57.80,2,2,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.34163,-1.87354,-1.851637,2057.017734,250.493976,2:15,5.47341,1.02257,5.97816,-32.17821,7.11178,16.46084,1.05366,0.67731,77.2469,-7.833702,1.111562,0.451141,,,,,,,,,,,,-9.06197,4.56244,-0.88555,50,5.30732,3.32284,-122.44924,-5.03532,-13.69689,25.19117,-25.27805,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,03eb92c0-3b62-11f1-8849-2b4164b5b749,83.54913,,,7.09473,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:05:57.80,2026-04-18T16:05:57.8060800-04:00,2026-04-18T20:05:57.8060800Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,5961df82-6897-4ab6-86e2-7920c30fac3d,54.5215,-123.37594,12.59559,5.47544,-4.10544,-12.63903,-1.01705,3.8267,-6.84845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,16:06:09.92,2,3,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,2,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.95711,-0.876111,-1.74703,2171.652224,241.059014,2:00,5.42208,1.03397,5.56779,-23.37651,9.98721,16.19509,2.6552,0.75111,84.25162,-5.211093,1.142661,0.415727,83.79498,59.975121,-76.422812,4453.420687,,,,,54.3025,,,-8.70642,5.60193,-0.89442,50,5.33124,3.34893,-133.54398,-2.88755,-15.75261,28.24667,-22.03844,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,0b1f4af0-3b62-11f1-8849-2b4164b5b749,90.66623,82.61058,,7.70549,,,,1.29571,2.64415,-0.75353,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:06:09.92,2026-04-18T16:06:09.9235328-04:00,2026-04-18T20:06:09.9235328Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,21ffa448-ff30-4f55-8631-1808c370d68a,54.93174,-134.58308,14.12333,5.42256,-2.07683,-11.01922,-1.02827,3.92842,-7.87631,,1.29571,14.43645,-10.73915,3.38311,-0.87501,0.21247,-0.04278,-0.00068,0.00339,2.64415,106.40706,-28.22512,3.54096,-0.71651,0.13511,-0.02616,0.00394,-0.00027,-0.75353,-59.77724,6.68546,-1.21009,0.19443,-0.03057,0.00453,-0.00021,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2026-04-18,16:06:27.39,2,4,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,2,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.00439,1.138374,-1.631162,1863.228557,262.25778,2:45,5.50325,1.08553,5.99113,-37.80431,3.45103,16.18725,3.40844,0.9224,75.27089,-5.862156,1.280105,0.462287,,,,,,,,,,,,-8.72595,1.87091,-0.96563,50,5.57229,2.76705,-119.16974,1.15805,-12.57872,22.38074,-29.47709,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,15942460-3b62-11f1-8849-2b4164b5b749,81.53476,,,6.7335,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:06:27.39,2026-04-18T16:06:27.3914368-04:00,2026-04-18T20:06:27.3914368Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,e4c13045-d5b8-4f2c-a972-619aee64d167,54.50806,-120.01339,11.19037,5.5077,2.26921,-14.73855,-1.07887,3.24121,-6.28936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,16:06:42.90,2,5,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.7995,-0.03916,-2.373191,2125.124487,248.194409,2:15,5.55679,0.67106,5.51161,-25.50175,8.10276,17.62355,3.39499,-0.08077,83.91572,-4.756693,0.766216,0.417225,,,,,,,,,,,,-9.61575,4.40461,-0.47654,50,5.53627,4.73432,-133.26458,-1.03307,-17.30139,28.49654,-24.24896,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,1ec5cf70-3b62-11f1-8849-2b4164b5b749,90.34083,,,7.88378,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:06:42.90,2026-04-18T16:06:42.9024768-04:00,2026-04-18T20:06:42.9024768Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,47e6e670-85bf-48e8-a240-3465c805cb91,54.98842,-134.32704,14.24827,5.55793,-0.12898,-12.12448,-0.66507,5.37939,-8.6507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,16:07:05.19,2,6,"Sliver, Nolan",823778,Right,KEN_OWL,"Hawsey, Trey",1000077439,Left,LOU_BUL,Undefined,1,Top,1,2,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,92.4964,-1.351356,-2.392637,2181.522108,241.221854,2:00,5.56709,0.72982,5.55767,-23.52123,9.63375,15.58481,2.34307,-0.2082,84.42989,-5.714339,0.38673,0.414425,112.58718,6.490959,31.664408,3135.974403,90.35587,4.72912,62.73579,145.43578,134.55032,36.183736,1.029378,-8.62678,5.57051,-0.53388,50,5.43483,4.90966,-134.19945,-4.02384,-15.69374,29.70397,-22.04017,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,2c134450-3b62-11f1-8849-2b4164b5b749,90.9512,6.55259,,8.06651,,,,2.05325,2.61514,0.10996,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:07:05.19,2026-04-18T16:07:05.1917824-04:00,2026-04-18T20:07:05.1917824Z,GroundBall,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,b944e70b-bcba-4c5d-ab6a-897af6cbf1bb,54.94186,-135.28886,14.85198,5.56759,-3.2155,-11.02009,-0.72451,5.48524,-7.84687,,2.05325,139.64533,-32.52184,6.98953,-1.77327,0.45272,-0.11562,0.02466,-0.00298,2.61514,18.66709,-23.4728,3.51491,-0.90502,0.2461,-0.0633,0.01381,-0.00172,0.10996,86.12692,-2.06671,-0.97,0.42229,-0.15035,0.04513,-0.01075,0.0014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-18,16:07:43.60,3,1,"Sliver, Nolan",823778,Right,KEN_OWL,"Coates, Colton",813832,Left,LOU_BUL,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4129,-0.158618,-0.889279,2097.50602,247.972797,2:15,5.56375,1.23602,5.31575,-27.33466,7.91701,16.56182,3.13698,1.7815,81.87563,-5.210824,2.052989,0.427328,,,,,,,,,,,,-8.52874,4.37988,-1.16774,50,5.52996,1.25963,-131.10721,-1.39164,-14.69015,30.41675,-24.63005,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,42f7b5c0-3b62-11f1-8849-2b4164b5b749,88.20499,,,8.53727,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:07:43.60,2026-04-18T16:07:43.6030976-04:00,2026-04-18T20:07:43.6030976Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,85f0ce28-d39a-4108-aea6-c8d1a2415bc0,55.18073,-132.30367,15.20838,5.56564,-0.4228,-12.31502,-1.22865,1.83748,-7.34508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,16:07:59.77,3,2,"Sliver, Nolan",823778,Right,KEN_OWL,"Coates, Colton",813832,Left,LOU_BUL,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.37683,0.167584,-2.537771,1948.612308,261.555884,2:45,5.53155,1.24552,5.70969,-38.91534,4.35307,18.49611,2.44489,0.421,73.29385,-7.044112,0.771203,0.473431,86.53603,35.00738,-19.957389,4042.110446,99.91413,64.35838,-46.01228,311.15215,304.2371,-30.824856,4.601206,-10.26524,2.60473,-1.04472,50,5.52167,4.4893,-117.91596,-0.92903,-14.17045,26.50727,-28.5784,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,4ca28870-3b62-11f1-8849-2b4164b5b749,79.61545,76.41892,,8.08298,,,,0.86897,2.40113,-0.42199,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:07:59.77,2026-04-18T16:07:59.7779968-04:00,2026-04-18T20:07:59.7779968Z,FlyBall,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,b80410dd-dc0c-4c97-aaef-f218571b6948,54.7877,-118.98735,13.25364,5.53588,0.22608,-14.2892,-1.23775,5.06205,-7.08522,140.153328,0.87164,97.66145,-19.75616,4.70144,-0.76476,0.06509,-0.00581,0.00184,-0.0002,2.40296,72.75778,-19.79087,0.64887,0.49024,-0.3219,0.09699,-0.01414,0.00079,-0.42257,-35.46454,-1.92638,1.51127,-0.58045,0.17097,-0.03676,0.00469,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-18,16:08:35.23,4,1,"Sliver, Nolan",823778,Right,KEN_OWL,"Berch, Elijah",1000222230,Right,LOU_BUL,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49872,1.411352,-1.332886,2620.760129,77.720148,8:30,5.4548,1.19794,4.87427,-51.07125,-2.09606,-17.41765,2.53496,-1.51497,70.39678,-7.830921,-4.400035,0.503685,,,,,,,,,,,,8.14906,-0.97854,-1.05138,50,5.55053,3.33814,-112.25267,0.9243,10.25211,22.97564,-33.40514,KEN_OWL,LOU_BUL,KennesawState,D1,CUSA,20260418-KennesawState-1,61ce4d60-3b62-11f1-8849-2b4164b5b749,74.83328,,,7.10194,,,,,,,1e1bf00d-a036-4054-bd3d-0fa82dc5a7d9,2026-04-18,20:08:35.23,2026-04-18T16:08:35.2365568-04:00,2026-04-18T20:08:35.2365568Z,,v3,471506,3374,,"McGee, James",10071772,Right,KEN_OWL,667c2c6f-60f2-4509-b5f5-2a1bc93cd2df,55.62401,-113.39794,11.48782,5.46295,2.58945,-16.70257,-1.20504,2.82711,5.12606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
