PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/26/26,59:44.0,1,1,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.44942,-0.712724,-3.604068,2391.173445,228.387366,1:30,5.48899,2.08029,6.73882,-23.58911,9.7315,9.70607,2.87067,-0.40839,82.23995,-5.194875,-1.838312,0.415459,71.66208,14.175664,-52.432146,3066.178504,60.97305,10.54779,-91.55464,151.28556,135.03346,-58.601571,1.786383,-6.22036,5.6867,-1.84623,50,5.43281,7.90199,-131.28518,-2.30636,-10.77906,29.64262,-22.31973,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,b4bf3e70-4199-11f1-880b-952d1c97e283,90.7249,12.93876,,8.20947,,,,1.86967,2.83049,0.48217,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,59:44.0,2026-04-26T13:59:43.9620608-04:00,2026-04-26T17:59:43.9620608Z,LineDrive,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,1d8a1724-2461-4897-882a-8552addfc78a,53.76198,-132.13186,14.82131,5.48958,-1.66884,-11.15987,-2.07633,8.20987,-5.38953,107.7247,1.86965,62.13249,-13.2964,2.23597,-0.70513,0.32211,-0.16149,0.04665,-0.00479,2.8305,25.73902,-17.45804,1.48548,-0.1774,-0.01259,0.02506,-0.00595,-1.00E-05,0.48219,-80.77305,4.19057,0.33442,-0.07058,-0.04552,0.0506,-0.01342,0.00076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,4/26/26,00:05.7,1,2,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.23308,-0.920581,-2.955873,2368.360938,205.784813,12:45,5.39843,2.21419,6.74075,-17.94832,15.34253,6.89859,3.06041,0.08588,82.35982,-4.370961,-1.70014,0.415273,,,,,,,,,,,,-4.46067,8.68292,-2.02183,50,5.33046,6.50145,-131.06634,-2.56422,-7.74729,28.10234,-17.09362,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,c1bf2f90-4199-11f1-880b-952d1c97e283,90.76544,,,7.87326,,,,,,,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,00:05.7,2026-04-26T14:00:05.7265152-04:00,2026-04-26T18:00:05.7265152Z,,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,ffdf2f89-4658-4f22-9db1-9537b54f2002,53.75871,-131.86979,14.05117,5.39678,-2.07551,-8.54681,-2.21088,6.72295,-3.87365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/26/26,00:21.2,1,3,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07015,-0.386685,-0.904709,2375.018865,204.960572,12:45,5.50477,2.16484,6.74372,-17.0782,15.5115,6.7426,3.72824,1.90007,83.1326,-3.679162,0.325052,0.410877,,,,,,,,,,,,-3.78555,8.60264,-2.10743,50,5.47227,1.82568,-132.44673,-1.32227,-6.71631,28.60449,-16.91127,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,cb063760-4199-11f1-880b-952d1c97e283,91.73661,,,7.93755,,,,,,,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,00:21.2,2026-04-26T14:00:21.2406784-04:00,2026-04-26T18:00:21.2406784Z,,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,4455bfbf-3647-4eae-9624-a3d485c9deef,53.75507,-133.25525,14.30225,5.50289,-0.84427,-8.45564,-2.16172,2.01551,-3.35816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/26/26,00:34.9,1,4,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.89285,-0.503033,-2.578499,2270.729365,195.668278,12:30,5.52951,2.18862,6.74724,-20.58635,12.39528,3.23055,3.35394,0.10055,83.39176,-4.400437,-1.990117,0.41334,,,,,,,,,,,,-2.28106,6.95772,-2.02011,50,5.48815,5.76337,-130.78227,-1.71451,-4.01526,23.36002,-19.92678,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,d333dff0-4199-11f1-880b-952d1c97e283,91.1899,,,6.50109,,,,,,,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,00:34.9,2026-04-26T14:00:34.9360640-04:00,2026-04-26T18:00:34.9360640Z,,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,16a3a57c-971a-4e70-9e21-d0eb3c68b0de,53.7521,-131.45076,11.68001,5.52906,-1.14428,-9.96339,-2.18668,5.87827,-2.00763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/26/26,00:58.9,1,5,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.04295,-1.024402,-4.03671,2332.825907,202.09575,12:45,5.5429,2.25997,6.80092,-18.48631,14.04729,5.30264,3.06502,-0.98836,83.53245,-4.557986,-3.07244,0.410523,28.80283,5.950003,-51.355505,3462.784066,,,,26.27663,24.11758,-48.579466,0.631456,-3.90803,8.03437,-2.00011,50,5.4692,9.1322,-132.18728,-2.85464,-6.93734,27.31651,-17.9119,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,e16c7820-4199-11f1-880b-952d1c97e283,91.81567,3.33061,,7.5105,,,,1.64235,3.00317,1.01967,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,00:59.0,2026-04-26T14:00:58.9591040-04:00,2026-04-26T18:00:58.9591040Z,GroundBall,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,3c531d64-6caf-4407-89f2-05e8a9c9b15f,53.70077,-132.94985,13.65826,5.54191,-2.35462,-8.95595,-2.25775,9.32586,-3.46867,138.312295,1.64235,26.23858,-2.05369,0.04127,-0.46047,1.43721,-2.25376,2.01212,-0.74622,3.00317,4.37915,-14.70818,0.48365,0.02344,-0.90376,1.5453,-1.37386,0.50308,1.01967,-32.8164,-0.05288,-0.02678,0.13375,0.12031,-0.15683,0.0773,-0.02511,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,4/26/26,01:20.4,1,6,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9041,0.29933,-1.193667,2341.084337,211.245117,1:00,5.44731,2.45298,7.03126,-19.21418,12.70953,7.18532,4.11818,1.96699,84.04962,-3.375485,0.123825,0.406657,,,,,,,,,,,,-4.125,7.0054,-2.38239,50,5.45874,2.50029,-132.42921,0.20261,-7.41596,25.0043,-19.57967,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,ee2e75e0-4199-11f1-880b-952d1c97e283,92.68856,,,6.85448,,,,,,,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,01:20.3,2026-04-26T14:01:20.3586048-04:00,2026-04-26T18:01:20.3586048Z,,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,e6ee7bbd-c9be-43cc-ac33-a21e6b74344e,53.47052,-133.08287,12.50215,5.44675,0.71447,-9.78984,-2.45029,2.69415,-3.70798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/26/26,01:35.5,1,7,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.72371,-1.584836,-2.933283,2389.525238,211.585688,1:00,5.44929,2.22341,6.99215,-19.33615,12.84698,7.3513,2.39457,0.16641,84.0256,-5.267236,-1.588175,0.408306,83.45979,28.88101,-43.604311,4849.528067,70.01147,46.93843,-84.84284,257.00684,140.23435,-61.332154,3.70927,-4.68733,7.55004,-2.04555,50,5.34502,6.51048,-132.00327,-4.15786,-8.36882,24.97096,-18.69406,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,f73678e0-4199-11f1-880b-952d1c97e283,92.31428,50.89314,,6.69812,,,,1.58942,2.31712,-0.04217,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,01:35.5,2026-04-26T14:01:35.5056640-04:00,2026-04-26T18:01:35.5056640Z,LineDrive,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,a126a256-c8e5-4a95-9aff-9e10d15c3d10,53.51152,-132.66588,12.48548,5.44877,-3.66181,-9.34703,-2.22125,6.73255,-4.18441,125.92928,1.58898,77.62646,-23.31914,6.07169,-1.57122,0.39493,-0.08754,0.01237,-0.00074,2.31751,59.11016,-19.96608,1.23804,0.06859,-0.1128,0.03892,-0.00592,0.00033,-0.04187,-73.93072,3.204,0.7277,-0.34013,0.05695,0.00093,-0.00164,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,4/26/26,01:54.7,1,8,"O'Day, Jacob",839266,Right,WES_HIL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.82191,0.890448,-2.178606,2254.244477,33.928925,7:15,5.54407,2.25194,6.05956,-52.12148,-5.22406,-4.44689,2.02546,-0.13611,71.01542,-8.678416,-2.979602,0.492885,93.14163,-8.290723,1.384299,,,,,15.99998,15.17841,1.467955,0.104175,1.71587,-2.59083,-2.08025,50,5.58501,4.40157,-111.66751,0.16166,2.1703,19.78804,-35.45097,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,02b03f30-419a-11f1-880b-952d1c97e283,76.47302,2.22066,,5.80649,,,,2.10775,2.22066,0.0869,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,01:54.7,2026-04-26T14:01:54.7215360-04:00,2026-04-26T18:01:54.7215360Z,GroundBall,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,1edb644f-fa93-468e-8dc0-ea7f760e74de,54.44461,-112.45236,9.89402,5.55071,1.56775,-17.72549,-2.25312,4.3155,1.08515,28.135083,2.10788,135.12348,-17.49232,,,,,,,2.22073,-19.70774,-15.45663,,,,,,,0.08692,3.26355,-1.56945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,4/26/26,02:26.4,2,1,"O'Day, Jacob",839266,Right,WES_HIL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75706,0.35193,-2.274263,2328.00825,211.326227,1:00,5.33923,2.2846,6.87102,-19.48017,13.20556,7.41347,4.0369,0.82847,82.80607,-3.38889,-0.920374,0.411482,,,,,,,,,,,,-4.54449,7.22032,-2.14217,50,5.35422,4.95517,-131.94058,0.30753,-8.00186,28.36868,-19.4607,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,159bd820-419a-11f1-880b-952d1c97e283,91.60177,,,7.951,,,,,,,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,02:26.4,2026-04-26T14:02:26.4470528-04:00,2026-04-26T18:02:26.4470528Z,,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,ff59c71f-3537-435f-a4b3-4ea32530a287,53.62819,-132.71838,14.18434,5.33847,0.8411,-9.73035,-2.28104,5.17456,-4.00093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/26/26,02:41.6,2,2,"O'Day, Jacob",839266,Right,WES_HIL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,1,0,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.64808,1.706347,-2.209698,2360.562461,34.053076,7:15,5.34058,2.38924,6.29949,-58.3935,-11.38064,-8.68138,2.04833,-0.37124,70.4643,-9.053216,-3.780092,0.493492,61.07407,-55.103297,55.3875,,,,,5.76733,4.83249,16.223126,0.034223,3.91795,-6.16319,-2.22256,50,5.4376,4.58521,-111.39459,1.61751,4.89133,21.21214,-39.86837,WES_HIL,KEN_OWL,NickDenesField,D1,CUSA,20260426-NickDenesField-1,1ea47760-419a-11f1-880b-952d1c97e283,76.37909,2.52664,,6.18379,,,,4.5366,2.52664,0.1608,6db4d62c-ee77-4a94-8d05-c91573ad0e88,4/26/26,02:41.6,2026-04-26T14:02:41.5798272-04:00,2026-04-26T18:02:41.5798272Z,GroundBall,v3,471490,471506,de643df2349946c59718aed676804bb1,"Ross, Camden",833393,Right,WES_HIL,cfc21907-fc0d-4cfe-a510-2bc636089143,54.20604,-112.19266,10.60607,5.34853,3.11749,-19.93419,-2.3916,4.40118,2.44566,,4.53581,29.25196,,,,,,,,2.52863,-73.82943,,,,,,,,0.15966,42.38334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
