playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,xWOBA,K%,BB%,Miss%,CSW%,Chase%,Swing%,iZ-Contact%,vFB,Barrel%,HardHit%,ExitVel,AdjGB%,SwStrk%,xSLG
TOTAL,,,,,,,,,,,,,.337,.343,20.6%,9.1%,23.5%,28.1%,24.8%,44.5%,83.2%,0,17.0%,36%,86.2,41.9%,10.4%,
AVERAGE,,,,,,,,,,,,,.337,.343,20.6%,9.1%,23.5%,28.1%,24.8%,44.5%,83.2%,0,17.0%,36%,86.2,41.9%,10.4%,

playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,xWOBA,K%,BB%,Miss%,CSW%,Chase%,Swing%,iZ-Contact%,vFB,Barrel%,HardHit%,ExitVel,AdjGB%,SwStrk%
1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,.392 (10%),.370 (15%),21.1% (58%),11.3% (22%),23.6% (55%),29.1% (63%),27.4% (75%),44.1% (45%),80.9% (75%),92 (85%),20.2% (20%),39% (24%),87.6 (26%),41.5% (52%),10.4% (54%)
1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,IF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,.354 (35%),.372 (13%),21.7% (61%),9.6% (41%),26.9% (77%),29.1% (64%),28.4% (83%),44.4% (49%),84.5% (44%),0,18.3% (36%),41% (16%),87.5 (27%),44.8% (66%),11.9% (75%)
1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,.352 (37%),.331 (55%),24.2% (76%),10.1% (35%),24.5% (61%),28.9% (63%),23.0% (35%),45.2% (59%),81.8% (68%),0,19.1% (28%),35% (51%),86.2 (52%),33.1% (12%),11.1% (63%)
1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,.357 (32%),.352 (30%),10.6% (1%),5.9% (88%),14.8% (5%),23.6% (9%),28.6% (84%),46.9% (78%),92.5% (1%),0,13.8% (77%),35% (54%),86.9 (39%),50.0% (86%),6.9% (8%)
1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,.298 (82%),.297 (85%),17.2% (29%),5.1% (93%),22.5% (48%),27.9% (49%),32.2% (97%),50.1% (96%),86.2% (28%),0,15.4% (65%),33% (69%),84.7 (75%),53.7% (94%),11.3% (67%)
1278802176,T. Wood,Tyler Wood,Wood,Tyler,P,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.332 (54%),.352 (30%),21.7% (61%),9.2% (47%),25.3% (67%),30.9% (83%),24.5% (49%),41.6% (17%),87.1% (19%),0,20.1% (20%),36% (43%),88.7 (11%),35.0% (19%),10.5% (55%)
1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,.318 (66%),.318 (68%),21.2% (58%),3.6% (99%),21.1% (36%),31.8% (88%),24.9% (53%),45.2% (59%),85.9% (29%),0,16.2% (56%),37% (37%),88.5 (14%),38.8% (37%),9.5% (39%)
1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,.289 (86%),.299 (83%),28.1% (90%),9.2% (47%),29.7% (89%),32.3% (91%),29.0% (86%),44.1% (44%),78.0% (88%),0,16.3% (56%),28% (89%),83.7 (86%),45.9% (71%),13.1% (87%)
1341316352,R. Kittredge,Ryan Kittredge,Kittredge,Ryan,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,.298 (81%),.332 (54%),16.6% (24%),10.4% (32%),22.0% (43%),27.4% (42%),23.1% (36%),43.7% (40%),86.9% (21%),0,12.7% (84%),32% (72%),84.9 (72%),45.0% (67%),9.6% (41%)
1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,.410 (4%),.367 (17%),16.1% (20%),4.6% (96%),20.6% (32%),30.5% (80%),28.4% (83%),49.4% (94%),86.1% (28%),96 (99%),15.7% (60%),38% (33%),86.9 (38%),50.6% (87%),10.1% (50%)
